"trainer/global_step","for-instance - _step","for-instance - _step__MIN","for-instance - _step__MAX","for-instance - val/total/instance_detection_f1_score","for-instance - val/total/instance_detection_f1_score__MIN","for-instance - val/total/instance_detection_f1_score__MAX"
"475","1325","1325","1325","0.3220779299736023","0.3220779299736023","0.3220779299736023"
"489","1364","1364","1364","0.3661327362060547","0.3661327362060547","0.3661327362060547"
"503","1403","1403","1403","0.27860695123672485","0.27860695123672485","0.27860695123672485"
"517","1442","1442","1442","0.3283582031726837","0.3283582031726837","0.3283582031726837"
"531","1481","1481","1481","0.24295011162757874","0.24295011162757874","0.24295011162757874"
"545","1520","1520","1520","0.2573363482952118","0.2573363482952118","0.2573363482952118"
"559","1559","1559","1559","0.3192904591560364","0.3192904591560364","0.3192904591560364"
"573","1598","1598","1598","0.4362744987010956","0.4362744987010956","0.4362744987010956"
"587","1637","1637","1637","0.3910891115665436","0.3910891115665436","0.3910891115665436"
"601","1676","1676","1676","0.3777777850627899","0.3777777850627899","0.3777777850627899"
"615","1715","1715","1715","0.4207792282104492","0.4207792282104492","0.4207792282104492"
"629","1754","1754","1754","0.3138173222541809","0.3138173222541809","0.3138173222541809"
"643","1793","1793","1793","0.3644859790802002","0.3644859790802002","0.3644859790802002"
"657","1832","1832","1832","0.4030226767063141","0.4030226767063141","0.4030226767063141"
"671","1871","1871","1871","0.4038461446762085","0.4038461446762085","0.4038461446762085"
"685","1910","1910","1910","0.4188235402107239","0.4188235402107239","0.4188235402107239"
"699","1949","1949","1949","0.41474655270576477","0.41474655270576477","0.41474655270576477"
"713","1988","1988","1988","0.3731343150138855","0.3731343150138855","0.3731343150138855"
"727","2027","2027","2027","0.43410852551460266","0.43410852551460266","0.43410852551460266"
"741","2066","2066","2066","0.44717445969581604","0.44717445969581604","0.44717445969581604"
"755","2105","2105","2105","0.4307692348957062","0.4307692348957062","0.4307692348957062"
"769","2144","2144","2144","0.46650123596191406","0.46650123596191406","0.46650123596191406"
"783","2183","2183","2183","0.39101123809814453","0.39101123809814453","0.39101123809814453"
"797","2222","2222","2222","0.46113988757133484","0.46113988757133484","0.46113988757133484"
"811","2261","2261","2261","0.42369019985198975","0.42369019985198975","0.42369019985198975"
"825","2300","2300","2300","0.4104803502559662","0.4104803502559662","0.4104803502559662"
"839","2339","2339","2339","0.46464645862579346","0.46464645862579346","0.46464645862579346"
"853","2378","2378","2378","0.4661654233932495","0.4661654233932495","0.4661654233932495"
"867","2417","2417","2417","0.4266054928302765","0.4266054928302765","0.4266054928302765"
"881","2456","2456","2456","0.4526558816432953","0.4526558816432953","0.4526558816432953"
"895","2495","2495","2495","0.4275534451007843","0.4275534451007843","0.4275534451007843"
"909","2534","2534","2534","0.4516128897666931","0.4516128897666931","0.4516128897666931"
"923","2573","2573","2573","0.4396135210990906","0.4396135210990906","0.4396135210990906"
"937","2612","2612","2612","0.467980295419693","0.467980295419693","0.467980295419693"
"951","2651","2651","2651","0.446601927280426","0.446601927280426","0.446601927280426"
"965","2690","2690","2690","0.44607841968536377","0.44607841968536377","0.44607841968536377"
"979","2729","2729","2729","0.43879908323287964","0.43879908323287964","0.43879908323287964"
"993","2768","2768","2768","0.45098039507865906","0.45098039507865906","0.45098039507865906"
"1007","2807","2807","2807","0.43294116854667664","0.43294116854667664","0.43294116854667664"
"1021","2846","2846","2846","0.4650112986564636","0.4650112986564636","0.4650112986564636"
"1035","2885","2885","2885","0.4470588266849518","0.4470588266849518","0.4470588266849518"
"1049","2924","2924","2924","0.4615384638309479","0.4615384638309479","0.4615384638309479"
"1063","2963","2963","2963","0.46411484479904175","0.46411484479904175","0.46411484479904175"
"1077","3002","3002","3002","0.4600938856601715","0.4600938856601715","0.4600938856601715"
"1091","3041","3041","3041","0.49140048027038574","0.49140048027038574","0.49140048027038574"
"1105","3080","3080","3080","0.4663461446762085","0.4663461446762085","0.4663461446762085"
"1119","3119","3119","3119","0.4962025284767151","0.4962025284767151","0.4962025284767151"
